model,hidden_layer_sizes,activation,solver,alpha,precision_score,recall_score,f1_score,roc_auc_score
MLPClassifier,"(10, 10, 10, 10)",identity,sgd,0.0001,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9323308270676692
MLPClassifier,"(10, 10, 10, 10)",identity,sgd,0.001,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9323308270676692
MLPClassifier,"(10, 10, 10, 10)",identity,sgd,0.01,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9323308270676692
MLPClassifier,"(10, 10, 10, 10)",identity,sgd,0.1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9323308270676692
MLPClassifier,"(10, 10, 10, 10)",identity,sgd,1.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9323308270676692
MLPClassifier,"(10, 10, 10, 10)",identity,lbfgs,1e-05,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9298245614035088
MLPClassifier,"(10, 10, 10, 10)",identity,lbfgs,0.0001,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9298245614035088
MLPClassifier,"(10, 10, 10, 10)",identity,lbfgs,0.001,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9298245614035088
MLPClassifier,"(10, 10, 10, 10)",identity,lbfgs,0.01,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9298245614035088
MLPClassifier,"(10, 10, 10, 10)",identity,lbfgs,0.1,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9298245614035088
MLPClassifier,"(10, 10, 10, 10)",identity,lbfgs,1.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9298245614035088
MLPClassifier,"(70, 20, 45, 10)",tanh,adam,1e-05,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.849624060150376
MLPClassifier,"(70, 20, 45, 10)",tanh,adam,0.0001,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.8295739348370927
MLPClassifier,"(70, 20, 45, 10)",tanh,adam,0.001,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.8045112781954887
MLPClassifier,"(70, 20, 45, 10)",tanh,adam,0.01,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8947368421052632
MLPClassifier,"(70, 20, 45, 10)",tanh,adam,0.1,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7994987468671679
MLPClassifier,"(70, 20, 45, 10)",tanh,adam,1.0,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9147869674185464
