model,n_estimators,max_depth,learning_rate,precision_score,recall_score,f1_score,roc_auc_score
GradietnBoostingDecisionTree,1400,5,0.001,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9273182957393484
GradietnBoostingDecisionTree,1400,5,0.01,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9323308270676692
GradietnBoostingDecisionTree,1400,5,0.1,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8947368421052632
GradietnBoostingDecisionTree,1600,3,0.0001,0.38095238095238093,0.7619047619047619,0.5079365079365079,0.9260651629072681
GradietnBoostingDecisionTree,1600,3,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.93734335839599
GradietnBoostingDecisionTree,1600,3,0.01,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9448621553884712
GradietnBoostingDecisionTree,1600,3,0.1,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.9473684210526316
GradietnBoostingDecisionTree,1600,5,0.0001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9160401002506265
GradietnBoostingDecisionTree,1600,5,0.001,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9273182957393484
GradietnBoostingDecisionTree,1600,5,0.01,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.93734335839599
GradietnBoostingDecisionTree,1600,5,0.1,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8897243107769424
GradietnBoostingDecisionTree,2000,3,0.0001,0.38095238095238093,0.7619047619047619,0.5079365079365079,0.9260651629072681
GradietnBoostingDecisionTree,2000,3,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9398496240601504
GradietnBoostingDecisionTree,2000,3,0.01,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.9523809523809524
GradietnBoostingDecisionTree,2000,3,0.1,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.949874686716792
GradietnBoostingDecisionTree,2000,5,0.0001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9160401002506265
GradietnBoostingDecisionTree,2000,5,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9348370927318296
GradietnBoostingDecisionTree,2000,5,0.01,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.9298245614035088
GradietnBoostingDecisionTree,2000,5,0.1,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.899749373433584
GradietnBoostingDecisionTree,2200,3,0.0001,0.38095238095238093,0.7619047619047619,0.5079365079365079,0.9260651629072681
GradietnBoostingDecisionTree,2200,3,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.93734335839599
GradietnBoostingDecisionTree,2200,3,0.01,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.9523809523809524
GradietnBoostingDecisionTree,2200,3,0.1,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.949874686716792
GradietnBoostingDecisionTree,2200,5,0.0001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.931077694235589
GradietnBoostingDecisionTree,2200,5,0.001,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.9323308270676692
GradietnBoostingDecisionTree,2200,5,0.01,0.38095238095238093,0.38095238095238093,0.38095238095238093,0.9197994987468672
GradietnBoostingDecisionTree,2200,5,0.1,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.8947368421052632
